Sample,Seq,PutGeno,GenoRep,Reps
342,2brad,OF483,OF483_rad,yes
343,2brad,OF509,OF509_rad,yes
344,2brad,OF512,OF512_rad,yes
345,2brad,OF523,OF523,no
346,2brad,OF549,OF549,no
347,2brad,OF560,OF560,no
348,2brad,OF581,OF581,no
349,2brad,OF590,OF590,no
350,2brad,OF591,OF591,no
351,2brad,OF611,OF611,no
352,2brad,OF622,OF622,no
353,2brad,OF629,OF629,no
354,2brad,OF653,OF653,no
355,2brad,OF654,OF654_rad,yes
356,2brad,OF657,OF657_rad,yes
357,2brad,OF656,OF656_rad,yes
359,2brad,OF662,OF662_rad,yes
361,2brad,OF671,OF671,no
362,2brad,OF679,OF679_rad,yes
363,2brad,OF681,OF681,no
365,2brad,OF687,OF687_rad,yes
366,2brad,OF690,OF690,no
367,2brad,OF692,OF692,no
368,2brad,OF693,OF693_rad,yes
369,2brad,OF695,OF695,no
371,2brad,OF698,OF698,no
372,2brad,OF700,OF700_rad,yes
373,2brad,OF702,OF702,no
374,2brad,OF704,OF704_rad_1,yes
375_2,2brad,OF706,OF706_rad_2,yes
375_3,2brad,OF706,OF706_rad_3,yes
375,2brad,OF706,OF706_rad_1,yes
376_2,2brad,OF727,OF727_rad_2,yes
376_3,2brad,OF727,OF727_rad_3,yes
376,2brad,OF727,OF727_rad_1,yes
377,2brad,OF729,OF729,no
378,2brad,OF782,OF782,no
379,2brad,OF668,OF668,no
380,2brad,OF670,OF670,no
381,2brad,OF672,OF672,no
382,2brad,OF675,OF675,no
383,2brad,OF676,OF676,no
384,2brad,OF677,OF677_rad,yes
385,2brad,OF678,OF678,no
387,2brad,OF688,OF688,no
388,2brad,OF689,OF689_rad_1,yes
389,2brad,OF691,OF691,no
390,2brad,OF694,OF694,no
391,2brad,OF697,OF697,no
P106,2brad,OF682,OF682_rad,yes
P117,2brad,mis5,mis5,no
P1D12,2brad,OF419,OF419,no
P1D7,2brad,mis4,mis4,no
P1E1,2brad,M22,M22_rad,yes
P1E2,2brad,OF704,OF704_rad_2,yes
P1G3,2brad,M1,M1,no
P201,2brad,F12,F12_rad,yes
P23A,2brad,OF689,OF689_rad_2,yes
P29B,2brad,M2-AE23,M2-AE23_wgs_2,yes
P2A8,2brad,mis6,mis6,no
P2H5,2brad,mis3,mis3,no
P62,2brad,mis1,mis1,no
P67,2brad,mis2,mis2,no
P89,2brad,GB7,GB7_wgs_2,yes
sperm_2,2brad,sperm,sperm_rad_2,yes
sperm_3,2brad,sperm,sperm_rad_3,yes
sperm,2brad,sperm,sperm_rad_1,yes
